Jname	Jarticles	nWave_ap	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	nWave_ra	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	nWave_rp	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Recent Pat CNS Drug Discov	9	9	27	25	109	9	40	30	64	9	60	54	189
Recent Pat DNA Gene Seq	12	12	327	304	338.5	12	219	88	236	12	528.5	417	563
Recent Pat Drug Deliv Formul	7	7	222	207.5	227.5	7	85	72.5	88	7	307	284.5	310
Recent Pat Endocr Metab Immune Drug Discov	14	14	44	29	122	14	55.5	29	97	14	144.5	73	185
Recent Pat Food Nutr Agric	4	4				4				4			
Recent Pat Inflamm Allergy Drug Discov	18	18	47.5	30	165	18	52	35	84	18	133	85	200
Recent Pat Nanotechnol	7	7	194	162.5	232	7	91	50.5	123.5	7	305	237.5	320
Redox Biol	89	89				89	19	8	30	89			
Regul. Pept.	120	120	67	53	83	120	190	149.5	254.5	120	263	232	309
Regul. Toxicol. Pharmacol.	131	131	96	85	106	131	120	80	166	131	233	176	275
Rehabil Nurs	1	1				1				1			
Rehabil Res Pract	18	18				18	98.5	78	156	18			
Rep Pract Oncol Radiother	63	63		294.5		63	162	120.5	207	63	346	105.5	769
Reprod Biol	53	53	88	63	139	53	150	109	233	53	255	183	376
Reprod Health	35	35				35	114	64.5	211	35		152	
Reprod. Biol. Endocrinol.	57	57				57	93	70	132	57		84	
Reprod. Biomed. Online	212	212	102	89	115	212	131.5	69	165	212	234	176	285
Reprod. Domest. Anim.	94	94	213.5	181	238	94	112.5	70	134	94	313	282	369
Reprod. Fertil. Dev.	91	91	135	68	196	91	111	66	160	91	241	188	292
Reprod. Med. Biol.	3	3				3				3			
Reprod. Toxicol.	98	98	125	106	147	98	155	108	225	98	276	236	381
Res Cardiovasc Med	35	35	124	86	155	35	48	6.5	109	35	170	142	228
Res Dev Disabil	450	450	93	83	106	450	74	52	102	450	169	144	200
Res Gerontol Nurs	41	41	130	62	256	41	146	119	192	41	297	184	482
Res Social Adm Pharm	83	83				83	108	71.5	178	83			
Res Synth Methods	1	1				1				1			
Res. Microbiol.	115	115	125	108		115	95	78.5	121.5	115	247	197.5	
Res. Vet. Sci.	220	220	148	116	183.5	220	180	126	251.5	220	318	279	399
Respir Investig	55	55	183	158	211	55	102	73	156	55	298	254.5	345.5
Respir Med	276	276	100	85	118.5	276	109	74	142.5	276	206.5	177	257
Respir Physiol Neurobiol	292	292	99	83	117.5	292	85	60	120	292	190	162	247
Respir. Res.	72	72				72	106	85	152	72		37.5	
Respiration	150	150	314.5	158		150	114	81	154	150	331.5	175	
Respirol Case Rep	11	11	118	74	138	11	20	16	29	11	137	97.5	164.5
Respirology	85	85	178	111	192	85	101	65	162	85	286	224	344
Restor Dent Endod	8	8	25.5	18.5	41.5	8	48	30.5	61.5	8	66	61	86.5
Results Immunol	21	21				21	59	50	110	21			
Resuscitation	237	237	164	128	189	237	103	73	140	237	264	224	320
Retrovirology	58	58				58	119.5	64	156	58		75	
Reumatismo	10	10				10	120	42	171	10		75	
Reumatol Clin	78	78				78	97.5	65	126	78			
Rev Assoc Med Bras	58	58				58	79	52	225	58			
Rev Bras Anestesiol	17	17				17	69	39	132	17			
Rev Bras Cir Cardiovasc	33	33	123	62		33	97	64	137	33	195	158	
Rev Bras Enferm	87	87				87	451	2	598.5	87			
Rev Bras Epidemiol	58	58	277.5	173	373	58	326	230	405	58	552.5	491	735
Rev Bras Ginecol Obstet	43	43	78	25.5		43	97	41.5	192	43	171	101.5	322
Rev Bras Hematol Hemoter	115	115				115	43	7	92	115		124	
Rev Bras Parasitol Vet	61	61				61	116	81	151	61			
Rev Bras Psiquiatr	28	28				28	117	85	186	28			
Rev Bras Reumatol	44	44		108		44	310	165	380.5	44		432.5	
Rev Bras Ter Intensiva	28	28				28	97	71.5	161.5	28		135	
Rev Calid Asist	34	34				34	122	80	170	34			
Rev Chilena Infectol	20	20	59	36.5	71.5	20	159.5	96	252.5	20	213.5	164.5	309.5
Rev Clin Esp (Barc)	55	55	251	184		55	67	45	89	55	319	259	
Rev Col Bras Cir	41	41				41	61	34	65	41			
Rev Environ Health	19	19				19	52	32	83	19			
Rev Epidemiol Sante Publique	69	69	171	143	218	69	250	175	350	69	458	328	543
Rev Esc Enferm USP	36	36	204.5	125	233.5	36	255	188	373	36	495	403	560
Rev Esp Anestesiol Reanim	97	97	369	180		97	102	75	145	97	469	351	
Rev Esp Cardiol (Engl Ed)	112	112	169.5	133	218	112	42.5	13	104	112	265	177	328
Rev Esp Cir Ortop Traumatol	64	64				64	91.5	62.5	127.5	64			
Rev Esp Geriatr Gerontol	56	56				56	89	43	138	56			
Rev Esp Med Nucl Imagen Mol	116	116		412		116	41.5	30	62.5	116		448.5	
Rev Esp Sanid Penit	10	10		209		10	143.5	62	246	10	174	41	307
Rev Gastroenterol Mex	31	31				31	119	74	156	31			
Rev Iberoam Micol	66	66				66	153.5	66	221	66			
Rev Lat Am Enfermagem	97	97				97	207	93	289	97			
Rev Mal Respir	90	90	201	145	234	90	146	89	282	90	391.5	287	463
Rev Med Chil	87	87	115	71	142	87	163	115.5	240	87	269	225	395
Rev Med Interne	178	178	184	135	283	178	61	6	173	178	292.5	142	465
Rev Neurosci	45	45				45	37	29	67	45		172	
Rev Paul Pediatr	49	49	208	159		49	148	127	163	49	390	317	
Rev Peru Med Exp Salud Publica	46	46		67		46	69	34	132	46	109.5	46	185
Rev Philos Psychol	2	2				2				2			
Rev Pneumol Clin	65	65	157	86	216	65	97	77	175	65	304	191	327
Rev Port Cardiol	121	121	236	190	269	121	57	22	140	121	335	252	424
Rev Port Cir Cardiotorac Vasc	47	47				47				47			
Rev Port Pneumol	47	47				47	159	100.5	200	47			
Rev Psiquiatr Salud Ment	21	21				21	110	55	173	21			
Rev Recent Clin Trials	4	4				4				4			
Rev Relig Res	2	2				2				2			
Rev Salud Publica (Bogota)	52	52				52	73.5	59	127.5	52			
Rev Saude Publica	60	60	177	118.5	200	60	239.5	163	343.5	60	422	295.5	535
Rev Stomatol Chir Maxillofac Chir Orale	56	56	81	52	108	56	233	152.5	386	56	376	267	466
Rev. Argent. Microbiol.	1	1				1				1			
Rev. Inst. Med. Trop. Sao Paulo	50	50				50	122.5	75	193	50		344	
Rev. Invest. Clin.	28	28				28	178	123	256	28			
Rev. Med. Virol.	23	23	137	95	229.5	23	74	49.5	104	23	241	162	328.5
Rev. Neurol. (Paris)	97	97	207	85		97	94	29	163	97	370	166	
Rev. Panam. Salud Publica	47	47	64	25	134	47	271	217.5	328.5	47	311	272.5	352.5
Rev. Soc. Bras. Med. Trop.	99	99				99	111	76.5	144.5	99			
Rheumatol. Int.	330	330	250.5	171	375	330	168	122	224	330	448	393	531
Rice (N Y)	16	16				16	123	111	144	16		96.5	
S Afr J Surg	15	15	33	14	82.5	15	333	195	418.5	15	357	290.5	445
S. Afr. Med. J.	89	89	107	55	163	89	41	9	89	89	173	110	234
Saf Health Work	28	28	64	36	83.5	28	100.5	55.5	169	28	156	115	222.5
Salud Colect	9	9	54	30	86	9	153	130	183	9	216	168	265
Salud Publica Mex	64	64		576.5		64	64.5	48	263.5	64	296.5	10	
Sao Paulo Med J	58	58	289	87		58	55.5	14	115	58	159	85	312
Sarcoidosis Vasc Diffuse Lung Dis	2	2				2				2			
Sarcoma	62	62				62	82.5	50	112	62			
Saudi Dent J	16	16	67	39	89	16	140	85	165	16	216	143	233
Saudi J Biol Sci	69	69	135	78	202	69	52	32	84	69	195	144	261
Saudi J Ophthalmol	51	51	91	51	255	51	147	106	201	51	258	195	395
Saudi Pharm J	58	58	360	329	398	58	46	37	73	58	406	385	448
Scand J Caring Sci	48	48	391	374	416	48	165	87.5	205	48	534.5	482.5	604
Scand J Psychol	49	49	151	141	177	49	179	94	266	49	339	261	397
Scand J Trauma Resusc Emerg Med	49	49				49	126	88	156	49		27	
Scand. J. Immunol.	59	59	91	76	104	59	77	55.5	117	59	176	137.5	222.5
Scanning	49	49				49	58	41	83	49			
Schizophr Res Treatment	22	22				22	80	67	113	22			
Schizophr. Res.	417	417	77	70	87	417	122	92	165	417	206	173	247
Sci China Life Sci	96	96	53	34	76	96	57.5	28	105.5	96	118.5	68.5	185.5
Sci Eng Ethics	43	43	395	322	446	43	116	84.5	151	43	528	475.5	630
Sci Pharm	71	71	159	110.5		71	56	42.5	113.5	71	243	144	
Sci Rep	1791	1791				1791	79	53	115.5	1791		135	
Sci. Justice	67	67	179	134	268	67	94	67	202	67	336	256	423
Sci. Total Environ.	1197	1197	103	79	127	1197	96	64	134	1197	200	155	260
Scientifica (Cairo)	60	60				60	30	22	36	60			
ScientificWorldJournal	1823	1823				1823	37	27	49	1823			
Scientometrics	8	8				8				8	351.5	111	360
Scoliosis	14	14				14	149.5	50	225	14		179	
Seizure	200	200	117	104.5	152	200	95.5	68	133	200	223.5	179	276
Semergen	95	95	499	383.5		95	73	46	117	95	648	447	
Semin Immunopathol	67	67	107	74	164	67	94	44	146	67	215	169	268
Semin. Arthritis Rheum.	88	88	213.5	187	237	88	88	52	117.5	88	304	271	341.5
Semin. Cancer Biol.	38	38	119	95	220	38	65.5	23	88	38	193.5	141	327
Semin. Cell Dev. Biol.	77	77	73	42	107	77	87	39	117	77	153	111	226
Semin. Immunol.	24	24				24	79	44.5	91.5	24	81	51	276
Semin. Ultrasound CT MR	1	1				1				1			
Sens Actuators B Chem	1	1				1				1			
Sens Imaging	1	1				1				1			
Sensors (Basel)	446	446				446	49	38	63	446			
Sep Sci Technol	2	2				2				2			
Sex Health	42	42	162	135	200	42	131.5	75	157	42	268	237	370
Sex Reprod Healthc	15	15	80	53.5	99	15	228	139	342	15	301	226.5	454
Shanghai Arch Psychiatry	11	11	105	81	156.5	11	77	66.5	97	11	202	170	226
Silence	3	3				3				3			
Skelet Muscle	16	16				16	109	79	118	16		57	
Skeletal Radiol.	196	196	135.5	109	179	196	103	77	145.5	196	246.5	208	307
Skin Pharmacol Physiol	64	64		251		64	93.5	74.5	123	64	258.5	61.5	
Skin Res Technol	1	1				1				1			
Sleep Breath	116	116	315	262.5	353.5	116	112.5	86	131.5	116	437	387.5	462
Sleep Disord	28	28				28	79	67	100	28			
Sleep Med Rev	53	53	336	312	375	53	133	92	226	53	495	428	556
Sleep Med.	266	266	127.5	103	164	266	117	90	154	266	269	229	290
Small	517	517				517				517	264	222	298
Soc Psychiatry Psychiatr Epidemiol	187	187	225	206	249	187	169	128.5	245.5	187	400	338.5	479
Soc Sci Med	488	488	92.5	74	112.5	488	224	169.5	317	488	324	270	436
Soc Sci Res	140	140	123	114	144	140	297	228.5	469	140	447.5	357	580
Socioaffect Neurosci Psychol	11	11				11	94	89	100.5	11			
Soft Matter	2	2				2				2			
Solid State Nucl Magn Reson	33	33		120		33	99	71	109	33		175	
Somnologie (Berl)	2	2				2				2			
Source Code Biol Med	16	16				16	145.5	63	164	16		47	
Spat Spatiotemporal Epidemiol	19	19	86	50	136	19	225	144	488.5	19	311	263.5	559.5
Spectrochim Acta A Mol Biomol Spectrosc	1071	1071	113	94	139	1071	93	62	127	1071	211	170	262
Spermatogenesis	6	6		28		6	32	1	88	6		101	
Spinal Cord	109	109	105	96	131	109	117	78	149	109	228	195	261
Spine J	434	434	146	103	210	434	313	201	441	434	499.5	357	607
Sport Sci Health	2	2				2				2			
Springerplus	714	714		320		714	78	51	116	714		385	
Stat Biosci	2	2				2				2			
Stat Med	359	359	209	187	231	359	304	232.5	425	359	520	427.5	631.5
Stem Cell Reports	68	68				68	99	64.5	152	68			
Stem Cell Res	140	140	97	88	116	140	157	113	210.5	140	259.5	219	310
Stem Cell Res Ther	70	70				70	154	102	201	70		111	
Stem Cells	120	120	122	109.5	135	120	130.5	79.5	156.5	120	248.5	205	279
Stem Cells Int	91	91				91	103	62	146	91			
Stereotact Funct Neurosurg	61	61	90	48		61	220	156	299	61	284	192	386
Steroids	148	148	102.5	89	116	148	106	75	148	148	218.5	171	253
Strahlenther Onkol	116	116	105	86	128	116	100.5	63	124.5	116	203	179	244
Strategies Trauma Limb Reconstr	39	39	62	39	88	39	248	194.5	316	39	327	255.5	402.5
Stress Health	52	52	345	309	412.5	52	184	132	248.5	52	530.5	438	683.5
Stroke Res Treat	65	65				65	60	46	99	65		51	
Structure	231	231	63	53	70	231	90	63.5	112	231	155	123.5	177
Stud Hist Philos Biol Biomed Sci	19	19	116	74.5	144.5	19	147	117	234	19	296	206.5	339.5
Subst Abuse Treat Prev Policy	26	26				26	144.5	110	178	26		125	
Suicide Life Threat Behav	65	65	186	176	213	65	121	63	213	65	322	246	427
Sultan Qaboos Univ Med J	50	50	123	95	139	50	144	107	183	50	268	229	318
Support Care Cancer	374	374	148	137	163	374	152	118	195	374	309	260	358
Surf Interface Anal	2	2				2				2			
Surf Sci	1	1				1				1			
Surg Endosc	573	573	192	173	208	573	105	77	144	573	294	261	338
Surg Neurol Int	332	332				332	56	20.5	96	332			
Surg Obes Relat Dis	197	197				197	101	25	173	197			
Surg Oncol	37	37	104	88	117	37	60	35	82	37	176	122	197
Surg Radiol Anat	151	151	230	208	251	151	137	82.5	178	151	366	302	419.5
Surg. Today	281	281	430	396	482	281	117	81	187	281	558	502	637
Surgeon	65	65	208	144	262	65	80	40	117	65	287	249	376
Surgery	306	306	160	113	203	306	125.5	91	172	306	274.5	220	390
Surv Ophthalmol	56	56				56	168.5	108.5	283	56			
Symbiosis	3	3				3				3			
Synapse	102	102	162	136	177	102	104	77	126	102	264.5	229	296
Synth Met	1	1				1				1			
Syst Rev	64	64				64	85	53	119.5	64			
Syst Synth Biol	27	27	57	53	158	27	111	69.5	218	27	263	172	351.5
Syst. Appl. Microbiol.	78	78	106.5	91	130	78	109	80	159	78	213	196	268
Syst. Parasitol.	89	89	76	53	91	89	89	57	126	89	168	147	191
Talanta	904	904	123.5	94	174	904	87.5	63	110	904	220	171	266
Tanaffos	36	36				36	99	63	146.5	36		144	
Target Oncol	50	50	135	70	345	50	77	56	134	50	285	154	482
Tech Coloproctol	106	106	224	186	264	106	105	55	184	106	356	295	430
Tetrahedron Lett.	3	3				3				3			
Theor Biol Med Model	42	42				42	89	49	139	42			
Theor Ecol	1	1				1				1			
Theor Popul Biol	44	44	85	80	110.5	44	196	148	297.5	44	294	235	423.5
Theor. Appl. Genet.	238	238	102	89	111	238	133	101	183	238	224	200	291
Theory Biosci.	22	22	194.5	173	218	22	148	112	258	22	359	265	500
Ther Apher Dial	9	9				9				9	124	101	132
Ther Clin Risk Manag	5	5				5				5			
Theranostics	120	120				120	54.5	32	82.5	120		71.5	
Therapie	32	32				32	91.5	41	234.5	32			
Theriogenology	290	290	107	95	125	290	117.5	77	176	290	227.5	183	287
Thin Solid Films	1	1				1				1			
Thorac Cardiovasc Surg Rep	8	8	221	179	274	8	56.5	41.5	91.5	8	289.5	243	322
Thromb J	16	16				16	99	81.5	147	16			
Thromb. Haemost.	321	321	91	81	103	321	99	60	135	321	205	153	246
Thromb. Res.	357	357	65	52	90	357	95	72	127	357	169	142	223
Thrombosis	15	15				15	97	69	132	15		122.5	
Thyroid Res	8	8				8	25.5	11.5	54.5	8			
Ticks Tick Borne Dis	83	83	136	128	157	83	105	73	160	83	247	192	360
Tierarztl Prax Ausg G Grosstiere Nutztiere	42	42				42	113.5	69	197	42		158	
Tierarztl Prax Ausg K Kleintiere Heimtiere	48	48	159.5	99.5		48	144	98.5	203	48	259.5	188.5	427.5
Tissue Antigens	164	164	87.5	66.5	101	164	67	34	110	164	146	128	191.5
Tissue Barriers	37	37	69	41		37	45	23	72	37	98	48	136
Tissue Cell	46	46	151	126	178	46	155	105	221	46	315	261	389
Tob Induc Dis	19	19				19	83	48	115.5	19			
Tokai J. Exp. Clin. Med.	14	14	78.5	47	120	14	39	23	101	14	141	136	172
Top Cogn Sci	48	48	178	128	305	48	191	84.5	331	48	460	338.5	501
Toxicol In Vitro	200	200	103.5	76.5	141	200	142.5	95.5	221.5	200	255	197.5	346
Toxicol Res	21	21				21	33	25	50	21	52	29	
Toxicol. Appl. Pharmacol.	334	334	89	76	114	334	82	61	112	334	173.5	147	224
Toxicol. Lett.	328	328	77	72	83	328	64	47	101.5	328	146	126	181
Toxicology	213	213	74	58	86	213	56	40	69	213	129	111	152
Toxicon	272	272	100	90	131	272	125.5	92	162.5	272	238	210.5	281.5
Toxins (Basel)	81	81		8		81	50	35	70	81	55	37	75
Traffic	95	95	87	78.5	100	95	148	67	223	95	221	169	287
Transbound Emerg Dis	89	89				89				89	350	335	794
Transfus Clin Biol	26	26	88	67	127	26	35	17	122	26	122.5	85	278
Transfus Med	40	40	121	96.5	138	40	109.5	81	178	40	258	195.5	328
Transfus Med Hemother	44	44	72	32	186.5	44	65	47	91	44	127	94	249
Transfus Med Rev	29	29	61	43	118	29	66	40	85	29	146	108	172
Transfus. Apher. Sci.	94	94	118	89	184	94	204.5	154	263	94	359	280	425
Transfusion	261	261	285	252	307	261	81	57	118	261	369	325	409
Transgenic Res.	71	71	212	185.5	238	71	112	80.5	161.5	71	325	273	391
Transl Neurodegener	14	14				14	93	66	124	14		71	
Transl Oncol	45	45	99	74		45	55	33	80	45	143	129	
Transl Psychiatry	27	27				27	111	71.5	159.5	27			
Transl Res	102	102	118.5	104	159	102	75	51	101	102	209	152	254
Transl Stroke Res	38	38	155	63	206	38	35.5	20	83	38	225	134	266
Transl Vis Sci Technol	20	20	33	11	82	20	114	76	153	20	141	86	186
Translation (Austin)	1	1				1				1			
Transpl Infect Dis	94	94	221	155	251	94	129.5	89	172	94	333.5	266	405
Transpl. Immunol.	58	58	53	46	71	58	73	53	103	58	121	102	157
Transpl. Int.	130	130	94	78	102	130	117	94	183	130	216	182	293
Transplant Res	10	10				10	127	97	148	10		190	
Transplant Rev (Orlando)	30	30	68	62	71	30	41.5	22	115	30	109.5	90	177
Transplant. Proc.	384	384	196	127		384	52.5	32	95	384	293	168	
Trauma Mon	55	55	89	57		55	82	43	138	55	185	78	305.5
Travel Med Infect Dis	81	81				81	128	56	193	81			
Tremor Other Hyperkinet Mov (N Y)	72	72				72	56.5	35	99.5	72		175.5	
Trends Biochem. Sci.	81	81	72	62	85	81	76	60	91	81	149	137	172
Trends Biotechnol.	92	92	72	61	96	92	50	25.5	77	92	132.5	117	157
Trends Cardiovasc. Med.	59	59	225	214.5	250	59	42	28.5	56	59	268	253	297
Trends Cell Biol.	86	86	133	117	141	86	59	49	74	86	189	172	210
Trends Cogn. Sci. (Regul. Ed.)	94	94	46.5	39	58	94	26	0	50	94	78.5	47	103
Trends Ecol. Evol. (Amst.)	79	79	109	89	126	79	116	65	179.5	79	246	174	283.5
Trends Endocrinol. Metab.	80	80	110	92.5	130.5	80	58	43	74	80	168	145.5	203.5
Trends Genet.	93	93	102	76	133	93	79	54	101	93	197	148	226
Trends Immunol.	87	87	118	98	133	87	66	46	83	87	179	167.5	215
Trends Microbiol.	86	86	72	64	86	86	47	35	56	86	122	104	151
Trends Mol Med	92	92	71	57	93	92	91	73	125.5	92	166.5	143.5	210.5
Trends Neurosci.	93	93	87	55	98	93	78	56	109	93	163	133	211
Trends Parasitol.	82	82	60	54	74	82	41.5	32	69	82	104	91	130
Trends Pharmacol. Sci.	84	84	55.5	49	62	84	68	51	85	84	125	110	145
Trends Plant Sci.	85	85	96	85	125	85	81	70	113	85	194	167	224
Trials	232	232				232	149.5	105	195.5	232		79	
Tribol Int	1	1				1				1			
Trop Med Health	28	28	138.5	69.5	287	28	70	20	155	28	208.5	99.5	495
Trop Parasitol	22	22				22	103	96	113	22			
Tuberc Res Treat	23	23				23	69	47	86.5	23			
Tuberc Respir Dis (Seoul)	36	36	91	60	183	36	61	30.5	105	36	186	93.5	235.5
Tuberculosis (Edinb)	118	118	88	75	110	118	81.5	67	116	118	184	149	220
Tumour Biol.	516	516	131	107	146	516	46	28	68	516	173.5	150	199.5
Turk J Haematol	66	66	151	107	283	66	76	24	209	66	217	143	435
Uisahak	2	2				2				2			
Ultramicroscopy	143	143	123	101	144.5	143	95	71	170	143	221	197	319
Ultrason Sonochem	220	220	185	164	212	220	124.5	71	193	220	316	267.5	392
Ultrasonics	190	190	178	151	226	190	159	100	245	190	358.5	284	444
Ultrasonography	1	1				1				1			
Ultrasound Med Biol	219	219	149	136	161	219	157	111.5	216.5	219	311	262	371
Ultrasound Obstet Gynecol	52	52	194	127.5	241	52	68	43	93	52	259.5	213.5	335.5
United European Gastroenterol J	24	24	69	47	85.5	24	53.5	37.5	72.5	24	128.5	100	154
Updates Surg	28	28	121	77	239.5	28	111	47	133	28	204	135	382
Urol Ann	34	34	442.5	358	562	34	99.5	63	128	34	527.5	471	656
Urol J	23	23	349	70		23	192	112	339	23	304	157.5	435
Urol. Int.	282	282		120		282	100	66	135	282	206.5	78	368
Urol. Oncol.	220	220	636.5	394.5	796.5	220	59	38	79.5	220	688	474	860
Urolithiasis	57	57	93	67	117	57	115	85	151	57	211	153	264
Urology	634	634	125	108	153	634	68	42	114	634	203	170	253
Vaccine	948	948	63	59	77	948	107	77	149.5	948	184	143	232
Value Health	102	102				102	219.5	153	316	102			
Vascul. Pharmacol.	65	65		87		65	88	39	145	65		195	
Vet Anaesth Analg	71	71	345	282	450.5	71	117	73	213.5	71	455	387	654
Vet Comp Oncol	39	39	46	35	75	39	101	80	152	39	212	128.5	304
Vet Comp Orthop Traumatol	116	116		133.5		116	219	173	279	116	283	156.5	523.5
Vet Med Int	34	34				34	84	68	97	34			
Vet Ophthalmol	3	3				3				3			
Vet Radiol Ultrasound	118	118				118	132	96	165	118			
Vet Res Forum	45	45				45	381	303	528	45	322	167	591
Vet Surg	107	107	182	112	395	107	209	153	277.5	107	485	307	624
Vet. Immunol. Immunopathol.	201	201	90	79	103	201	113	83	173	201	214	182	282
Vet. J.	347	347	121	86	182.5	347	182	130	238	347	308	261	396
Vet. Microbiol.	435	435	133	121	157	435	97	68	152	435	251	209	302
Vet. Parasitol.	384	384	158	119	183	384	115	79	183	384	281	241	333
Vet. Res.	70	70				70	155.5	116	203	70		64	
Virchows Arch.	155	155	43	33	55	155	100	75	136	155	143	117	186
Virol Sin	27	27	26	8.5	65	27	47	15	88	27	79	51	144.5
Virol. J.	189	189				189	136	92	188	189		100	
Virology	377	377	101	86	112	377	69	47	92	377	167	148	198
Virus Genes	128	128	127	109	140	128	75.5	50	109.5	128	200	177	234.5
Virus Res.	250	250	95	74	107	250	86	54	110	250	176	147	208
Virusdisease	4	4				4				4			
Viruses	92	92		11		92	34.5	27	45	92	32	21.5	49.5
Vision Res.	153	153	74	61	87	153	162	113	229	153	241	178	317
Vox Sang.	86	86	194	176	209	86	109.5	78	149	86	297	264	354
Vulnerable Child Youth Stud	1	1				1				1			
Waste Manag	283	283	118	99	146.5	283	163	120	224	283	304	245	373.5
Water Air Soil Pollut	22	22		40		22	124	106	168	22	186.5	153	
Water Res.	677	677	96	83	109	677	123	91	153	677	221	185	251
Water Resour Res	3	3				3				3			
West Indian Med J	1	1				1				1			
West J Emerg Med	84	84	160	147	215	84	106	75	224	84	292.5	230	447.5
Wideochir Inne Tech Malo Inwazyjne	59	59	210	193	249.5	59	67	48	109.5	59	285	248.5	364.5
Wien Med Wochenschr	74	74	73	46	140	74	82	31	136	74	160.5	76	218
Wien. Klin. Wochenschr.	124	124	49	34	64	124	132	84.5	231	124	179	135	283
Wilderness Environ Med	46	46	178	156	215	46	185	147	240	46	372.5	332	445
Wiley Interdiscip Rev Comput Mol Sci	3	3				3				3			
Wiley Interdiscip Rev Nanomed Nanobiotechnol	8	8				8	107	92	175	8			
Wiley Interdiscip Rev RNA	28	28				28	77	55	138	28			
Wiley Interdiscip Rev Syst Biol Med	19	19				19	97	80.5	158	19			
Women Birth	33	33	163	126	207	33	144	81	188	33	332	233	427
Womens Health Issues	45	45				45	192	74	226	45			
Work Stress	1	1				1				1			
Workplace Health Saf	43	43	68	62	74	43	218	146	235	43	287	220	345.5
World Allergy Organ J	16	16				16	135	56.5	197	16		76.5	
World J Biol Chem	5	5	28	28	46	5	69	56	82	5	102	97	107
World J Cardiol	38	38	39	29	42	38	86.5	71	111	38	125	106	164
World J Clin Cases	37	37	38	29	43	37	86	70	112	37	119	102	145
World J Clin Oncol	9	9	31	24	66	9	91	58	112	9	136	79	172
World J Clin Pediatr	4	4				4				4			
World J Crit Care Med	2	2				2				2			
World J Diabetes	12	12	37	30.5	49	12	127	106.5	325.5	12	168	142.5	366.5
World J Emerg Med	55	55				55	123	104	134	55		101.5	
World J Emerg Surg	35	35				35	62	40.5	81.5	35			
World J Exp Med	1	1				1				1			
World J Gastrointest Endosc	41	41	46	39	71	41	82	72	127	41	155	116	185
World J Gastrointest Oncol	20	20	33	26.5	77	20	97	55.5	140	20	155.5	94.5	200.5
World J Gastrointest Pathophysiol	4	4				4				4			
World J Gastrointest Pharmacol Ther	6	6	71	39	90	6	118.5	83	127	6	169.5	149	185
